semente,episodio,recompensa
4,3,-56845.0
4,4,-56790.0
4,5,-52375.0
4,6,-51321.0
4,7,-53904.0
4,8,-49284.0
4,9,-46314.0
4,10,-44909.0
4,11,-43958.0
4,12,-43987.0
4,13,-46561.0
4,14,-45665.0
4,15,-241512.0
4,16,-44758.0
4,17,-269511.0
4,18,-40978.0
4,19,-45960.0
4,20,-43497.0
4,21,-43569.0
4,22,-42608.0
4,23,-43280.0
4,24,-43124.0
4,25,-43527.0
4,26,-42771.0
4,27,-43332.0
4,28,-45165.0
4,29,-40282.0
4,30,-40822.0
4,31,-40940.0
4,32,-51110.0
4,33,-50650.0
4,34,-42196.0
4,35,-44239.0
4,36,-43668.0
4,37,-43447.0
4,38,-50567.0
4,39,-45160.0
4,40,-46821.0
4,41,-253573.0
4,42,-44250.0
4,43,-46982.0
4,44,-46129.0
4,45,-40647.0
4,46,-41789.0
4,47,-42572.0
4,48,-45674.0
4,49,-43928.0
4,50,-44638.0
4,51,-42885.0
4,52,-48999.0
4,53,-47641.0
4,54,-42062.0
4,55,-47572.0
4,56,-43298.0
4,57,-44034.0
4,58,-42907.0
4,59,-45381.0
4,60,-44290.0
4,61,-54557.0
4,62,-43811.0
4,63,-49139.0
4,64,-44220.0
4,65,-43708.0
4,66,-46834.0
4,67,-42832.0
4,68,-40421.0
4,69,-42167.0
4,70,-47982.0
