semente,episodio,recompensa
2,79,-2464.0
2,80,-2278.0
2,81,-3505.0
2,82,-2999.0
2,83,-3105.0
2,84,-3022.0
2,85,-2818.0
2,86,-2851.0
2,87,-2634.0
2,88,-2268.0
2,89,-2815.0
2,90,-2659.0
2,91,-4997.0
2,92,-3114.0
2,93,-2606.0
2,94,-3274.0
2,95,-2736.0
2,96,-3558.0
2,97,-2745.0
2,98,-2967.0
2,99,-3685.0
2,100,-3833.0
3,1,-4196.0
3,2,-4932.0
3,3,-5705.0
3,4,-3801.0
3,5,-2840.0
3,6,-4049.0
3,7,-4553.0
3,8,-3797.0
3,9,-4024.0
3,10,-4294.0
3,11,-3492.0
3,12,-3910.0
3,13,-3292.0
3,14,-3249.0
3,15,-3714.0
3,16,-5039.0
3,17,-5053.0
3,18,-2553.0
3,19,-3620.0
3,20,-3331.0
3,21,-2454.0
3,22,-4032.0
3,23,-4242.0
3,24,-3981.0
3,25,-3977.0
3,26,-4354.0
3,27,-3872.0
3,28,-2633.0
3,29,-4402.0
3,30,-3912.0
3,31,-4168.0
3,32,-2723.0
3,33,-2378.0
3,34,-2688.0
3,35,-2547.0
3,36,-2766.0
3,37,-4465.0
3,38,-3862.0
3,39,-3608.0
3,40,-3826.0
3,41,-3308.0
3,42,-3451.0
3,43,-2221.0
3,44,-3495.0
3,45,-3570.0
3,46,-3041.0
3,47,-3305.0
3,48,-3365.0
3,49,-2686.0
3,50,-2851.0
3,51,-2883.0
3,52,-3759.0
3,53,-3220.0
3,54,-3243.0
3,55,-3688.0
3,56,-3788.0
3,57,-3175.0
3,58,-2927.0
3,59,-2503.0
3,60,-2322.0
3,61,-2636.0
3,62,-2944.0
3,63,-3429.0
3,64,-2535.0
3,65,-4965.0
3,66,-3349.0
3,67,-3086.0
3,68,-3267.0
3,69,-2782.0
3,70,-2579.0
3,71,-2772.0
3,72,-2593.0
3,73,-2539.0
3,74,-2798.0
3,75,-2547.0
3,76,-2409.0
3,77,-2910.0
3,78,-3149.0
3,79,-2993.0
3,80,-3049.0
3,81,-2133.0
3,82,-2769.0
3,83,-4151.0
3,84,-2892.0
3,85,-2303.0
3,86,-2413.0
3,87,-2709.0
3,88,-2788.0
3,89,-2748.0
3,90,-3337.0
3,91,-2961.0
3,92,-3251.0
3,93,-2772.0
3,94,-2694.0
3,95,-2240.0
3,96,-3780.0
3,97,-2978.0
3,98,-2735.0
3,99,-3285.0
3,100,-3141.0
4,1,-4033.0
4,2,-3585.0
4,3,-4156.0
4,4,-4262.0
4,5,-3779.0
4,6,-3808.0
4,7,-3634.0
4,8,-4234.0
4,9,-4192.0
4,10,-4456.0
4,11,-3549.0
4,12,-3021.0
4,13,-3618.0
4,14,-3813.0
4,15,-4808.0
4,16,-4347.0
4,17,-4189.0
4,18,-4071.0
4,19,-5369.0
4,20,-3305.0
4,21,-3749.0
4,22,-4272.0
4,23,-3677.0
4,24,-4642.0
4,25,-4140.0
4,26,-3061.0
4,27,-4611.0
4,28,-2976.0
4,29,-2974.0
4,30,-3822.0
4,31,-4875.0
4,32,-3780.0
4,33,-3427.0
4,34,-3626.0
4,35,-5011.0
4,36,-3180.0
4,37,-3612.0
4,38,-3162.0
4,39,-2016.0
4,40,-3443.0
4,41,-4162.0
4,42,-4110.0
4,43,-3312.0
4,44,-2795.0
4,45,-3053.0
4,46,-3041.0
4,47,-3532.0
4,48,-4380.0
4,49,-3239.0
4,50,-3754.0
4,51,-3163.0
4,52,-3663.0
4,53,-1819.0
4,54,-3430.0
4,55,-3636.0
4,56,-4125.0
4,57,-3277.0
4,58,-3055.0
4,59,-2955.0
4,60,-2826.0
4,61,-2513.0
4,62,-3043.0
4,63,-2187.0
4,64,-2963.0
4,65,-3029.0
4,66,-2249.0
4,67,-2655.0
4,68,-4743.0
4,69,-3598.0
4,70,-2693.0
4,71,-3550.0
4,72,-3184.0
4,73,-2432.0
4,74,-2994.0
4,75,-2973.0
4,76,-2546.0
4,77,-3264.0
4,78,-2064.0
4,79,-2800.0
4,80,-2897.0
4,81,-3135.0
4,82,-2466.0
4,83,-3545.0
4,84,-2669.0
4,85,-2502.0
4,86,-3551.0
4,87,-2948.0
4,88,-2537.0
4,89,-2421.0
4,90,-2905.0
4,91,-2730.0
4,92,-2884.0
4,93,-2916.0
4,94,-2383.0
4,95,-2350.0
4,96,-2286.0
4,97,-2783.0
4,98,-3035.0
4,99,-2526.0
4,100,-3270.0
