semente,episodio,recompensa
2,57,-61202.0
2,58,-79014.0
2,59,-70932.0
2,60,-83160.0
2,61,-66816.0
2,62,-65340.0
2,63,-61633.0
2,64,-60912.0
2,65,-63187.0
2,66,-45002.0
2,67,-62309.0
2,68,-49421.0
2,69,-68099.0
2,70,-346865.0
2,71,-72291.0
2,72,-63911.0
2,73,-80357.0
2,74,-88456.0
2,75,-70718.0
2,76,-82738.0
2,77,-83044.0
2,78,-95533.0
2,79,-67213.0
2,80,-71077.0
2,81,-54417.0
2,82,-66643.0
2,83,-59531.0
2,84,-75498.0
2,85,-81338.0
2,86,-96312.0
2,87,-81056.0
2,88,-73224.0
3,1,-103634.0
3,2,-126976.0
3,3,-156551.0
3,4,-127857.0
3,5,-74429.0
3,6,-54370.0
3,7,-56568.0
3,8,-56996.0
3,9,-54862.0
3,10,-57735.0
3,11,-67944.0
3,12,-54421.0
3,13,-64911.0
3,14,-117959.0
3,15,-109362.0
3,16,-120748.0
3,17,-109586.0
3,18,-115985.0
3,19,-103564.0
3,20,-85927.0
3,21,-77434.0
3,22,-66763.0
3,23,-277811.0
3,24,-71135.0
3,25,-72644.0
3,26,-62124.0
3,27,-67615.0
3,28,-66981.0
3,29,-64575.0
3,30,-66642.0
3,31,-68513.0
3,32,-70518.0
3,33,-64896.0
3,34,-54818.0
3,35,-62736.0
3,36,-74544.0
3,37,-66191.0
3,38,-66270.0
3,39,-66031.0
3,40,-69377.0
3,41,-77141.0
3,42,-55328.0
3,43,-60970.0
3,44,-85444.0
3,45,-71072.0
3,46,-76290.0
3,47,-70169.0
3,48,-80253.0
3,49,-80081.0
3,50,-71936.0
3,51,-59191.0
3,52,-58822.0
3,53,-63140.0
3,54,-69100.0
3,55,-66377.0
3,56,-62476.0
3,57,-65666.0
3,58,-72431.0
3,59,-72162.0
3,60,-68961.0
3,61,-66752.0
3,62,-66139.0
3,63,-55926.0
3,64,-77404.0
3,65,-68884.0
3,66,-59733.0
3,67,-62315.0
3,68,-61547.0
3,69,-71375.0
3,70,-80630.0
3,71,-90972.0
3,72,-72864.0
3,73,-284437.0
3,74,-63490.0
3,75,-58723.0
3,76,-49943.0
3,77,-65612.0
3,78,-58262.0
3,79,-42009.0
3,80,-55001.0
3,81,-52484.0
3,82,-58262.0
3,83,-57346.0
3,84,-53103.0
3,85,-62073.0
3,86,-54652.0
3,87,-66924.0
3,88,-66432.0
3,89,-71095.0
4,1,-60776.0
4,2,-58119.0
4,3,-53784.0
4,4,-61663.0
4,5,-63735.0
4,6,-62361.0
4,7,-54760.0
4,8,-52851.0
4,9,-48493.0
4,10,-56079.0
4,11,-62565.0
4,12,-272768.0
4,13,-63905.0
4,14,-84845.0
4,15,-70971.0
4,16,-83668.0
4,17,-72781.0
4,18,-63809.0
4,19,-48524.0
4,20,-53420.0
4,21,-54535.0
4,22,-53518.0
4,23,-50973.0
4,24,-56002.0
4,25,-88360.0
4,26,-80634.0
4,27,-72100.0
4,28,-67646.0
4,29,-61439.0
4,30,-81843.0
4,31,-113701.0
4,32,-94943.0
4,33,-74154.0
4,34,-74814.0
4,35,-63949.0
4,36,-60618.0
4,37,-77833.0
4,38,-65759.0
4,39,-74558.0
4,40,-88339.0
4,41,-53337.0
4,42,-81544.0
4,43,-79314.0
4,44,-74372.0
4,45,-60242.0
4,46,-54962.0
4,47,-75298.0
4,48,-68015.0
4,49,-75447.0
4,50,-78687.0
4,51,-58523.0
4,52,-65973.0
4,53,-67810.0
4,54,-73874.0
4,55,-76593.0
4,56,-57650.0
4,57,-71512.0
4,58,-68776.0
4,59,-86341.0
4,60,-72291.0
4,61,-62781.0
4,62,-64949.0
4,63,-67224.0
4,64,-54839.0
4,65,-50203.0
4,66,-52631.0
4,67,-49677.0
